username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
anniekrnmusa,1,0,1,0,1
gunars,1,0,0,0,1
shesinparties,1,0,1,0,0
mueritzeum,64,0,59,0,0
dhrubo,3,0,11,4,15
technogeek,1,0,2,2,1
DitDJSoc,21,0,11,1,3
curby,1,0,0,0,0
multivitamins,0,0,15,0,0
DJChritgo,1,0,0,0,0
sheppo1966,1,0,1,3,3
marla,1,0,0,1,1
BustinJustin,5,0,6,0,5
maciejpiatkowski,12,0,1,0,0
londonelek,0,0,41,0,0
draggin,11,0,4,0,3
djtanfolyam,1,0,3,0,2
janskiii,1,0,0,1,0
prankzter,5,0,6,0,0
Quadrophenia,2,0,2,1,1
jwrobinson,1,0,2,3,9
PooFlicka,3,0,0,7,11
ubercore,1,0,0,1,0
marvin_s,1,0,0,0,1
doublekiss,1,0,2,2,17
gregmetal,25,0,46,74,34
nevenfryer,0,0,7,0,0
Supah,5,0,2,0,0
malissa,0,0,7,0,3
Sonic86,0,0,7,1,1
kaulawu,1,0,2,1,67
rudeeq,2,0,1,1,0
danielyeo,4,0,0,0,0
chinwaa,2,0,0,0,1
dannis27,8,0,2,9,38
platinum1991,2,0,10,1,11
WaxZ,12,0,11,4,7
GooseberryAJA,8,0,3,0,30
fthylmz,42,0,44,7,18
narada,1,0,1,1,2
LeachFace,3,0,4,4,1
Loules1,7,0,11,0,14
cjisironmanv3,0,0,10,0,0
nd80,1,0,1,10,25
andrexito,6,0,5,5,6
GetIntoZeChoppa,2,0,25,0,4
ANunezHK,1,0,0,0,0
bira1024,2,0,3,0,3
lroubille,31,0,8,55,234
Andr01d,1,0,0,0,0
lowercasetres,0,0,1,0,0
swedeart,0,0,18,0,0
kieranyo,1,0,0,0,0
millwallmickie,1,0,16,0,0
timetofly,2,0,0,0,4
pushedplay,2,0,3,2,1
erdem,1,0,1,1,1
km2go,3,0,5,0,105
neilyboy,2,0,5,0,0
janew3,1,0,0,0,1
ztomiolo,6,0,53,13,25
kazitoshi,12,0,18,25,16
gombi,1,0,1,1,0
zxu944,18,0,7,17,64
javier,1,0,0,0,0
pouyou,3,0,14,11,44
mihain,2,0,0,6,18
Cavernous,6,0,25,0,1
galinaNerv,1,0,19,2,1
dubious,1,0,1,0,1
goodlifenation,4,0,0,4,4
cubfm,12,0,5,0,0
Kiko,3,0,6,1,0
mr_binny,2,0,0,0,0
weatherman20,3,0,2,1,3
Maplao,1,0,0,1,2
Hexenkraut,4,0,2,6,7
anonomis,5,0,1,4,22
emphor,3,0,3,1,8
filmofilia,1,0,1,1,6
jamescoyle,3,0,1,2,5
benza,3,0,10,0,0
bueller,1,0,0,0,0
Reffould,3,0,1,0,0
moyersy,0,0,2,0,8
mandolin,3,0,12,0,0
Trylogic,2,0,2,0,0
wartourist,1,0,7,0,1
marcobriosa,1,0,11,2,14
deejoe,1,0,1,0,2
franfer,22,0,39,18,20
djtetsuo,1,0,1,0,1
ultra_t,1,0,2,0,1
DailyZic,18,0,6,0,47
rexoffender,2,0,2,0,2
swirlyswirly,47,0,26,0,20
DELETEDJUL21,0,0,7,3,7
magme,1,0,0,0,4
eddietorrent,2,0,7,3,7
