username;ref_as_follower;ref_as_following;ref_as_faved
djmoodswinger;33;46;7
wbaloo;17;10;0
soxxi;136;152;10
radiokillaz;1;8;0
beatdigger;979;259;1
JJC;5;16;3
fukhed;31;26;2
creak;32;44;2
MikeTaylorNSR;0;5;2
jetproject;7;42;2
ukfmusic;0;89;35
mykfukz;2;7;0
beaudamion;486;171;4
DubtimusGrime;9;151;88
bardall;0;12;0
innersounds;10;75;26
ivarsm;1;15;0
coneyislandsound;275;115;13
djnicotean;328;95;0
braiden;19;235;28
Ficus;27;44;9
panomanara;1;11;0
rudzee;47;41;0
UnmarkedDoor;14;36;11
czscream_cube;1;2;0
kridmusic;669;231;7
gilleswasserman;0;5;1
DexterousD;659;110;5
bamm;0;8;0
deejaymaylee;2;9;2
JamesFurness;11;57;1
tyrelwilliams;1;1;0
DJFurious;6;5;0
alexmadden;2;24;6
djpauloleite;28;26;0
jim;64;73;12
HijaQ;2;0;2
Barkers1970;27;40;1
djdubfama;1;9;2
forbiddenfruitrecordings;169;101;4
megabassclub;5;56;18
techvibes;63;57;5
Koschy;27;12;1
chlorochill;2;3;0
BreezyFM;1;0;0
poumtchak;22;28;2
robertass;8;7;10
bordercommunity;30;525;148
MarkoLuna;14;7;1
joebird;2;0;0
aplusdj;2;4;1
artefakt;1;5;1
dj_ange;1;14;1
thisiselement;14;10;1
lechateaurouge;27;18;1
diogo_semedo;0;1;1
deansmith;10;26;5
Pepper;3;4;0
djandymart;54;48;0
ominous_upperkutt;1;0;0
knowledgemag;42;584;162
chrisvench;6;10;0
union;12;37;1
theblackdog;0;57;8
OscarTG;5;38;8
kaster;1;1;0
distantstarr;302;104;5
BASSHEADS;0;7;0
vlad_cheis;0;0;0
frz;28;35;13
djjeromehill;0;12;1
rafiqimusic;4;4;0
kaizenrecords;0;36;5
Vincenn;1036;399;56
joelarmstrong;68;26;0
rudeboi;2;0;0
joecoseness;63;156;68
CiLLYC;7;12;0
counterpartint;0;2;0
